,Unnamed: 0,Size (cm),Weight (g),Brix (Sweetness),pH (Acidity),Softness (1-5),HarvestTime (days),Ripeness (1-5),Quality (1-5),Color,Variety,Blemishes (Y/N)
0,0,7.5,180,12.0,3.2,2.0,10,4.0,3,38,11,149
1,1,8.2,220,10.5,3.4,3.0,14,4.5,4,75,16,149
2,2,6.8,150,14.0,3.0,1.0,7,5.0,4,64,21,149
3,3,9.0,250,8.5,3.8,4.0,21,3.5,3,55,2,149
4,4,8.5,210,11.5,3.3,2.5,12,5.0,4,38,5,14
5,5,6.7,126,9.1,3.0,2.0,25,2.0,0,38,16,149
6,6,7.2,160,9.0,3.5,3.5,9,4.0,3,9,1,149
7,7,6.5,130,13.5,2.8,1.5,5,4.5,4,64,3,149
8,8,8.8,240,7.5,4.0,5.0,18,3.0,2,75,16,2
9,9,7.8,190,12.0,3.1,2.0,11,4.5,4,38,11,149
10,10,9.5,270,6.0,4.2,4.5,24,2.5,2,55,21,10
11,11,7.8,183,14.8,3.7,2.0,12,3.0,3,75,11,10
12,12,8.0,200,10.0,3.5,3.0,13,4.0,4,38,14,149
13,13,7.0,140,11.0,3.2,2.5,8,4.5,4,75,14,149
14,14,9.2,260,9.5,3.7,4.5,20,4.0,3,55,18,149
15,15,6.3,120,14.5,2.9,1.0,6,5.0,4,64,14,149
16,16,8.7,230,8.0,3.9,3.5,17,3.5,3,38,11,1
17,17,9.6,218,14.1,4.2,4.0,11,1.0,3,75,21,2
18,18,7.5,247,9.1,3.3,4.0,24,5.0,1,64,14,149
19,19,7.4,170,12.5,3.0,2.0,10,4.0,4,9,11,149
20,20,10.0,300,7.0,4.1,5.0,25,3.0,2,55,2,149
21,21,8.1,205,11.0,3.4,2.5,14,4.5,4,75,3,149
22,22,7.6,180,9.0,3.3,3.0,11,4.0,4,38,7,149
23,23,9.8,280,6.5,4.3,5.0,23,2.5,1,55,16,8
24,24,7.9,190,10.5,3.1,2.5,12,4.0,4,38,7,149
25,25,8.4,215,8.5,3.8,4.0,16,3.5,3,75,3,149
26,26,6.7,140,13.0,3.0,1.5,7,4.5,4,64,4,149
27,27,6.3,111,10.0,4.3,4.0,10,5.0,3,55,21,149
28,28,7.5,177,8.6,3.5,4.0,11,1.0,0,64,18,149
29,29,9.0,240,7.5,4.0,4.5,20,3.0,2,55,21,23
30,30,8.3,220,11.0,3.3,3.0,15,4.0,4,38,5,149
31,31,7.1,150,9.5,3.4,3.5,9,4.0,4,9,12,149
32,32,7.7,185,12.0,3.2,2.0,11,4.5,4,75,18,149
33,33,8.9,245,8.0,3.9,4.0,19,3.0,3,55,16,149
34,34,6.2,110,15.0,2.8,1.0,5,5.0,4,64,13,149
35,35,8.6,225,9.5,3.6,3.0,17,4.0,3,38,5,17
36,36,7.3,165,10.0,3.3,2.5,9,4.5,4,75,7,149
37,37,9.7,285,7.0,4.2,4.5,22,2.5,2,55,21,10
38,38,8.0,200,11.5,3.4,3.0,13,4.0,4,38,2,149
39,39,7.5,175,8.5,3.7,4.0,10,3.5,3,75,11,149
40,40,9.2,260,10.5,3.2,4.0,20,4.5,4,55,18,149
41,41,6.4,125,13.5,3.0,1.5,6,5.0,4,64,14,149
42,42,7.8,190,9.0,3.5,3.5,12,4.0,4,9,13,149
43,43,8.3,210,12.5,3.1,2.0,15,4.5,4,75,14,149
44,44,6.6,135,14.0,2.9,1.0,7,5.0,4,64,4,149
45,45,7.7,185,12.0,3.2,2.0,11,4.5,4,75,11,149
46,46,8.9,240,8.5,3.8,4.5,18,3.5,4,55,21,149
47,47,8.2,215,10.0,3.4,3.0,14,4.0,4,38,5,149
48,48,9.4,275,6.5,4.1,5.0,24,2.5,2,55,16,149
49,49,7.2,160,11.5,3.2,2.0,8,4.5,4,75,18,149
50,50,8.8,230,9.0,3.7,4.0,18,3.5,3,55,5,17
51,51,6.1,105,14.0,2.9,1.0,4,5.0,4,64,13,149
52,52,8.5,220,10.5,3.3,2.5,16,4.0,4,38,7,149
53,53,9.9,290,5.5,4.4,5.0,23,2.0,1,55,21,10
54,54,7.7,185,12.0,3.1,3.0,11,4.5,4,38,2,149
55,55,7.4,170,8.0,3.8,4.0,9,3.5,3,75,11,149
56,56,9.1,255,11.0,3.2,4.0,19,4.5,4,55,18,149
57,57,6.3,120,12.5,3.0,1.5,5,5.0,4,64,14,23
58,58,7.6,180,9.5,3.4,3.5,10,4.0,4,9,13,149
59,59,8.1,205,13.0,3.0,2.0,13,4.5,4,75,14,149
60,60,6.5,130,13.5,2.9,1.0,6,5.0,4,64,4,149
61,61,8.7,235,7.0,4.0,4.5,17,3.0,2,55,21,23
62,62,8.0,200,10.5,3.3,3.0,12,4.0,4,38,5,149
63,63,7.3,165,11.5,3.2,2.5,8,4.5,4,75,7,149
64,64,9.0,240,8.5,3.9,4.5,20,3.5,3,55,16,6
65,65,6.8,140,12.0,3.0,1.5,7,5.0,4,64,7,149
66,66,8.4,215,7.5,4.0,4.0,15,3.0,3,75,3,149
67,67,7.1,150,10.0,3.3,3.0,9,4.0,3,9,12,9
