,Size (cm),Weight (g),Brix (Sweetness),pH (Acidity),Softness (1-5),HarvestTime (days),Ripeness (1-5),Color,Variety,Blemishes (Y/N),Quality (1-5)
0,7.5,180,12.0,3.2,2.0,10,4.0,0.15767634854771784,0.04564315352697095,0,3
1,8.2,220,10.5,3.4,3.0,14,4.5,0.3112033195020747,0.06639004149377593,0,4
2,6.8,150,14.0,3.0,1.0,7,5.0,0.26556016597510373,0.08713692946058091,0,4
3,9.0,250,8.5,3.8,4.0,21,3.5,0.22821576763485477,0.008298755186721992,0,3
4,8.5,210,11.5,3.3,2.5,12,5.0,0.15767634854771784,0.02074688796680498,0,4
5,6.7,126,9.1,3.0,2.0,25,2.0,0.15767634854771784,0.06639004149377593,0,0
6,7.2,160,9.0,3.5,3.5,9,4.0,0.03734439834024896,0.004149377593360996,0,3
7,6.5,130,13.5,2.8,1.5,5,4.5,0.26556016597510373,0.012448132780082987,0,4
8,8.8,240,7.5,4.0,5.0,18,3.0,0.3112033195020747,0.06639004149377593,0,2
9,7.8,190,12.0,3.1,2.0,11,4.5,0.15767634854771784,0.04564315352697095,0,4
10,9.5,270,6.0,4.2,4.5,24,2.5,0.22821576763485477,0.08713692946058091,0,2
11,7.8,183,14.8,3.7,2.0,12,3.0,0.3112033195020747,0.04564315352697095,0,3
12,8.0,200,10.0,3.5,3.0,13,4.0,0.15767634854771784,0.058091286307053944,0,4
13,7.0,140,11.0,3.2,2.5,8,4.5,0.3112033195020747,0.058091286307053944,0,4
14,9.2,260,9.5,3.7,4.5,20,4.0,0.22821576763485477,0.07468879668049792,0,3
15,6.3,120,14.5,2.9,1.0,6,5.0,0.26556016597510373,0.058091286307053944,0,4
16,8.7,230,8.0,3.9,3.5,17,3.5,0.15767634854771784,0.04564315352697095,0,3
17,9.6,218,14.1,4.2,4.0,11,1.0,0.3112033195020747,0.08713692946058091,0,3
18,7.5,247,9.1,3.3,4.0,24,5.0,0.26556016597510373,0.058091286307053944,0,1
19,7.4,170,12.5,3.0,2.0,10,4.0,0.03734439834024896,0.04564315352697095,0,4
20,10.0,300,7.0,4.1,5.0,25,3.0,0.22821576763485477,0.008298755186721992,0,2
21,8.1,205,11.0,3.4,2.5,14,4.5,0.3112033195020747,0.012448132780082987,0,4
22,7.6,180,9.0,3.3,3.0,11,4.0,0.15767634854771784,0.029045643153526972,0,4
23,9.8,280,6.5,4.3,5.0,23,2.5,0.22821576763485477,0.06639004149377593,0,1
24,7.9,190,10.5,3.1,2.5,12,4.0,0.15767634854771784,0.029045643153526972,0,4
25,8.4,215,8.5,3.8,4.0,16,3.5,0.3112033195020747,0.012448132780082987,0,3
26,6.7,140,13.0,3.0,1.5,7,4.5,0.26556016597510373,0.016597510373443983,0,4
27,6.3,111,10.0,4.3,4.0,10,5.0,0.22821576763485477,0.08713692946058091,0,3
28,7.5,177,8.6,3.5,4.0,11,1.0,0.26556016597510373,0.07468879668049792,0,0
29,9.0,240,7.5,4.0,4.5,20,3.0,0.22821576763485477,0.08713692946058091,0,2
30,8.3,220,11.0,3.3,3.0,15,4.0,0.15767634854771784,0.02074688796680498,0,4
31,7.1,150,9.5,3.4,3.5,9,4.0,0.03734439834024896,0.04979253112033195,0,4
32,7.7,185,12.0,3.2,2.0,11,4.5,0.3112033195020747,0.07468879668049792,0,4
33,8.9,245,8.0,3.9,4.0,19,3.0,0.22821576763485477,0.06639004149377593,0,3
34,6.2,110,15.0,2.8,1.0,5,5.0,0.26556016597510373,0.05394190871369295,0,4
35,8.6,225,9.5,3.6,3.0,17,4.0,0.15767634854771784,0.02074688796680498,0,3
36,7.3,165,10.0,3.3,2.5,9,4.5,0.3112033195020747,0.029045643153526972,0,4
37,9.7,285,7.0,4.2,4.5,22,2.5,0.22821576763485477,0.08713692946058091,0,2
38,8.0,200,11.5,3.4,3.0,13,4.0,0.15767634854771784,0.008298755186721992,0,4
39,7.5,175,8.5,3.7,4.0,10,3.5,0.3112033195020747,0.04564315352697095,0,3
40,9.2,260,10.5,3.2,4.0,20,4.5,0.22821576763485477,0.07468879668049792,0,4
41,6.4,125,13.5,3.0,1.5,6,5.0,0.26556016597510373,0.058091286307053944,0,4
42,7.8,190,9.0,3.5,3.5,12,4.0,0.03734439834024896,0.05394190871369295,0,4
43,8.3,210,12.5,3.1,2.0,15,4.5,0.3112033195020747,0.058091286307053944,0,4
44,6.6,135,14.0,2.9,1.0,7,5.0,0.26556016597510373,0.016597510373443983,0,4
45,7.7,185,12.0,3.2,2.0,11,4.5,0.3112033195020747,0.04564315352697095,0,4
46,8.9,240,8.5,3.8,4.5,18,3.5,0.22821576763485477,0.08713692946058091,0,4
47,8.2,215,10.0,3.4,3.0,14,4.0,0.15767634854771784,0.02074688796680498,0,4
48,9.4,275,6.5,4.1,5.0,24,2.5,0.22821576763485477,0.06639004149377593,0,2
49,7.2,160,11.5,3.2,2.0,8,4.5,0.3112033195020747,0.07468879668049792,0,4
50,8.8,230,9.0,3.7,4.0,18,3.5,0.22821576763485477,0.02074688796680498,0,3
51,6.1,105,14.0,2.9,1.0,4,5.0,0.26556016597510373,0.05394190871369295,0,4
52,8.5,220,10.5,3.3,2.5,16,4.0,0.15767634854771784,0.029045643153526972,0,4
53,9.9,290,5.5,4.4,5.0,23,2.0,0.22821576763485477,0.08713692946058091,0,1
54,7.7,185,12.0,3.1,3.0,11,4.5,0.15767634854771784,0.008298755186721992,0,4
55,7.4,170,8.0,3.8,4.0,9,3.5,0.3112033195020747,0.04564315352697095,0,3
56,9.1,255,11.0,3.2,4.0,19,4.5,0.22821576763485477,0.07468879668049792,0,4
57,6.3,120,12.5,3.0,1.5,5,5.0,0.26556016597510373,0.058091286307053944,0,4
58,7.6,180,9.5,3.4,3.5,10,4.0,0.03734439834024896,0.05394190871369295,0,4
